Date,Interpolated Value
2021-09-18,2590.103050900211
2021-09-19,2622.6783832178435
2021-09-20,2654.814814524253
2021-09-21,2686.3646499111646
2021-09-22,2717.180194470302
2021-09-23,2747.113753293388
2021-09-24,2776.0176314721475
2021-09-25,2803.744134098303
2021-09-26,2830.14556626358
2021-09-27,2855.0742330597004
2021-09-28,2878.382439578388
2021-09-29,2899.9224909113677
2021-09-30,2919.546692150363
2021-10-01,2937.107348387097
2021-10-02,2952.501214631831
2021-10-03,2965.8028455689755
2021-10-04,2977.131245801477
2021-10-05,2986.6054199322834
2021-10-06,2994.3443725643433
2021-10-07,3000.4671083006033
2021-10-08,3005.0926317440108
2021-10-09,3008.3399474975126
2021-10-10,3010.328060164058
2021-10-11,3011.1759743465936
2021-10-12,3011.002694648066
2021-10-13,3009.9272256714244
2021-10-14,3008.0685720196143
2021-10-15,3005.545738295585
2021-10-16,3002.4777291022833
2021-10-17,2998.9835490426563
2021-10-18,2995.1822027196517
2021-10-19,2991.192694736217
2021-10-20,2987.1340296953003
2021-10-21,2983.125212199848
2021-10-22,2979.285246852809
2021-10-23,2975.7331382571297
2021-10-24,2972.5878910157576
2021-10-25,2969.9685097316406
2021-10-26,2967.993999007726
2021-10-27,2966.783363446961
2021-10-28,2966.4556076522936
2021-10-29,2967.1297362266714
2021-10-30,2968.924753773041
2021-10-31,2971.9596648943507
2021-11-01,2976.353474193548
2021-11-02,2982.190650772586
2021-11-03,2989.4175217294455
2021-11-04,2997.9458786611094
2021-11-05,3007.6875131645647
2021-11-06,3018.5542168367974
2021-11-07,3030.457781274791
2021-11-08,3043.3099980755333
2021-11-09,3057.022658836008
2021-11-10,3071.5075551532004
2021-11-11,3086.676478624098
2021-11-12,3102.4412208456833
2021-11-13,3118.7135734149447
2021-11-14,3135.405327928866
2021-11-15,3152.4282759844323
2021-11-16,3169.69420917863
2021-11-17,3187.1149191084437
2021-11-18,3204.60219737086
2021-11-19,3222.0678355628634
2021-11-20,3239.4236252814394
2021-11-21,3256.5813581235734
2021-11-22,3273.4528256862523
2021-11-23,3289.949819566459
2021-11-24,3305.9841313611814
2021-11-25,3321.467552667403
2021-11-26,3336.31187508211
2021-11-27,3350.4288902022886
2021-11-28,3363.730389624923
2021-11-29,3376.1281649469993
2021-11-30,3387.5340077655032
2021-12-01,3397.8597096774192
2021-12-02,3407.0438949402737
2021-12-03,3415.132518453752
2021-12-04,3422.19836777808
2021-12-05,3428.314230473483
2021-12-06,3433.552894100187
2021-12-07,3437.987146218418
2021-12-08,3441.689774388401
2021-12-09,3444.733566170363
2021-12-10,3447.1913091245283
2021-12-11,3449.135790811123
2021-12-12,3450.6397987903742
2021-12-13,3451.776120622506
2021-12-14,3452.6175438677446
2021-12-15,3453.236856086316
2021-12-16,3453.7068448384457
2021-12-17,3454.100297684359
2021-12-18,3454.4900021842823
2021-12-19,3454.948745898441
2021-12-20,3455.5493163870615
2021-12-21,3456.364501210369
2021-12-22,3457.4670879285886
2021-12-23,3458.9298641019464
2021-12-24,3460.825617290669
2021-12-25,3463.2271350549813
2021-12-26,3466.2072049551093
2021-12-27,3469.838614551278
2021-12-28,3474.1941514037144
2021-12-29,3479.346603072644
2021-12-30,3485.368757118292
2021-12-31,3492.3334011008833
2022-01-01,3500.3133225806455
2022-01-02,3509.35129194318
2022-01-03,3519.3700108755993
2022-01-04,3530.2621638903915
2022-01-05,3541.920435500045
2022-01-06,3554.2375102170486
2022-01-07,3567.106072553891
2022-01-08,3580.4188070230603
2022-01-09,3594.0683981370453
2022-01-10,3607.947530408335
2022-01-11,3621.9488883494173
2022-01-12,3635.965156472782
2022-01-13,3649.889019290916
2022-01-14,3663.6131613163093
2022-01-15,3677.0302670614496
2022-01-16,3690.0330210388256
2022-01-17,3702.5141077609264
2022-01-18,3714.3662117402405
2022-01-19,3725.482017489256
2022-01-20,3735.7542095204612
2022-01-21,3745.075472346346
2022-01-22,3753.338490479398
2022-01-23,3760.4359484321058
2022-01-24,3766.260530716958
2022-01-25,3770.704921846444
2022-01-26,3773.6618063330516
2022-01-27,3775.023868689269
2022-01-28,3774.683793427586
2022-01-29,3772.5342650604903
2022-01-30,3768.4679681004704
2022-01-31,3762.377587060015
2022-02-01,3754.155806451613
2022-02-02,3743.73898037681
2022-02-03,3731.2381412933805
2022-02-04,3716.8079912481558
2022-02-05,3700.603232287967
2022-02-06,3682.778566459646
2022-02-07,3663.488695810024
2022-02-08,3642.888322385933
2022-02-09,3621.132148234204
2022-02-10,3598.3748754016683
2022-02-11,3574.7712059351584
2022-02-12,3550.475841881504
2022-02-13,3525.6434852875386
2022-02-14,3500.428838200092
2022-02-15,3474.986602665996
2022-02-16,3449.4714807320834
2022-02-17,3424.038174445184
2022-02-18,3398.8413858521303
2022-02-19,3374.035816999753
2022-02-20,3349.7761699348844
2022-02-21,3326.2171467043554
2022-02-22,3303.513449354997
2022-02-23,3281.819779933642
2022-02-24,3261.290840487121
2022-02-25,3242.0813330622655
2022-02-26,3224.3459597059073
2022-02-27,3208.2394224648774
2022-02-28,3193.9164233860074
2022-03-01,3181.531664516129
2022-03-02,3171.195110018287
2022-03-03,3162.8377725203804
2022-03-04,3156.345926766522
2022-03-05,3151.6058475008235
2022-03-06,3148.503809467399
2022-03-07,3146.9260874103593
2022-03-08,3146.7589560738174
2022-03-09,3147.8886902018858
2022-03-10,3150.201564538678
2022-03-11,3153.583853828305
