Date,Interpolated Value
2020-09-30,2730.1318779569892
2020-10-01,2753.7166161290324
2020-10-02,2755.802354526535
2020-10-03,2757.8880929240377
2020-10-04,2759.9738313215403
2020-10-05,2762.059569719043
2020-10-06,2764.1453081165455
2020-10-07,2766.231046514048
2020-10-08,2768.3167849115507
2020-10-09,2770.4025233090533
2020-10-10,2772.488261706556
2020-10-11,2774.5740001040585
2020-10-12,2776.659738501561
2020-10-13,2778.7454768990638
2020-10-14,2780.8312152965664
2020-10-15,2782.916953694069
2020-10-16,2785.0026920915716
2020-10-17,2787.0884304890737
2020-10-18,2789.1741688865764
2020-10-19,2791.259907284079
2020-10-20,2793.3456456815816
2020-10-21,2795.431384079084
2020-10-22,2797.517122476587
2020-10-23,2799.6028608740894
2020-10-24,2801.688599271592
2020-10-25,2803.7743376690946
2020-10-26,2805.8600760665972
2020-10-27,2807.9458144641
2020-10-28,2810.0315528616024
2020-10-29,2812.117291259105
2020-10-30,2814.2030296566077
2020-10-31,2816.2887680541103
2020-11-01,2818.374506451613
2020-11-02,2824.9431433333334
2020-11-03,2831.511780215054
2020-11-04,2838.080417096774
2020-11-05,2844.6490539784945
2020-11-06,2851.217690860215
2020-11-07,2857.7863277419356
2020-11-08,2864.354964623656
2020-11-09,2870.923601505376
2020-11-10,2877.4922383870967
2020-11-11,2884.060875268817
2020-11-12,2890.6295121505377
2020-11-13,2897.1981490322582
2020-11-14,2903.7667859139783
2020-11-15,2910.335422795699
2020-11-16,2916.9040596774194
2020-11-17,2923.47269655914
2020-11-18,2930.0413334408604
2020-11-19,2936.6099703225805
2020-11-20,2943.178607204301
2020-11-21,2949.7472440860215
2020-11-22,2956.315880967742
2020-11-23,2962.8845178494626
2020-11-24,2969.4531547311826
2020-11-25,2976.021791612903
2020-11-26,2982.5904284946237
2020-11-27,2989.159065376344
2020-11-28,2995.7277022580647
2020-11-29,3002.296339139785
2020-11-30,3008.8649760215053
2020-12-01,3015.433612903226
2020-12-02,3009.3260165452652
2020-12-03,3003.218420187305
2020-12-04,2997.1108238293446
2020-12-05,2991.003227471384
2020-12-06,2984.8956311134234
2020-12-07,2978.7880347554633
2020-12-08,2972.6804383975027
2020-12-09,2966.572842039542
2020-12-10,2960.4652456815816
2020-12-11,2954.3576493236214
2020-12-12,2948.250052965661
2020-12-13,2942.1424566077003
2020-12-14,2936.0348602497397
2020-12-15,2929.9272638917796
2020-12-16,2923.819667533819
2020-12-17,2917.7120711758585
2020-12-18,2911.604474817898
2020-12-19,2905.4968784599378
2020-12-20,2899.389282101977
2020-12-21,2893.2816857440166
2020-12-22,2887.174089386056
2020-12-23,2881.066493028096
2020-12-24,2874.9588966701353
2020-12-25,2868.8513003121748
2020-12-26,2862.743703954214
2020-12-27,2856.636107596254
2020-12-28,2850.5285112382935
2020-12-29,2844.420914880333
2020-12-30,2838.3133185223724
2020-12-31,2832.2057221644122
2021-01-01,2826.0981258064517
2021-01-02,2822.2082710718
2021-01-03,2818.318416337149
2021-01-04,2814.428561602497
2021-01-05,2810.538706867846
2021-01-06,2806.6488521331944
2021-01-07,2802.758997398543
2021-01-08,2798.8691426638916
2021-01-09,2794.9792879292404
2021-01-10,2791.0894331945888
2021-01-11,2787.1995784599376
2021-01-12,2783.309723725286
2021-01-13,2779.4198689906348
2021-01-14,2775.530014255983
2021-01-15,2771.640159521332
2021-01-16,2767.7503047866803
2021-01-17,2763.860450052029
2021-01-18,2759.9705953173775
2021-01-19,2756.0807405827263
2021-01-20,2752.1908858480747
2021-01-21,2748.3010311134235
2021-01-22,2744.411176378772
2021-01-23,2740.5213216441207
2021-01-24,2736.631466909469
2021-01-25,2732.741612174818
2021-01-26,2728.8517574401662
2021-01-27,2724.961902705515
2021-01-28,2721.0720479708634
2021-01-29,2717.1821932362122
2021-01-30,2713.2923385015606
2021-01-31,2709.4024837669094
2021-02-01,2705.512629032258
2021-02-02,2720.2139498847923
2021-02-03,2734.915270737327
2021-02-04,2749.6165915898614
2021-02-05,2764.317912442396
2021-02-06,2779.019233294931
2021-02-07,2793.7205541474655
2021-02-08,2808.421875
2021-02-09,2823.1231958525345
2021-02-10,2837.824516705069
2021-02-11,2852.5258375576036
2021-02-12,2867.227158410138
2021-02-13,2881.9284792626727
2021-02-14,2896.629800115207
2021-02-15,2911.331120967742
2021-02-16,2926.0324418202767
2021-02-17,2940.7337626728113
2021-02-18,2955.435083525346
2021-02-19,2970.1364043778804
2021-02-20,2984.837725230415
2021-02-21,2999.5390460829494
2021-02-22,3014.240366935484
2021-02-23,3028.9416877880185
2021-02-24,3043.643008640553
2021-02-25,3058.3443294930876
2021-02-26,3073.0456503456226
2021-02-27,3087.746971198157
2021-02-28,3102.4482920506916
2021-03-01,3117.149612903226
2021-03-02,3100.7522198751303
2021-03-03,3084.3548268470345
2021-03-04,3067.957433818939
2021-03-05,3051.5600407908432
2021-03-06,3035.1626477627474
2021-03-07,3018.7652547346515
2021-03-08,3002.367861706556
2021-03-09,2985.9704686784603
2021-03-10,2969.5730756503644
2021-03-11,2953.1756826222686
2021-03-12,2936.7782895941727
2021-03-13,2920.3808965660774
2021-03-14,2903.9835035379815
2021-03-15,2887.5861105098857
2021-03-16,2871.18871748179
2021-03-17,2854.7913244536944
2021-03-18,2838.3939314255986
2021-03-19,2821.9965383975027
2021-03-20,2805.599145369407
2021-03-21,2789.2017523413115
2021-03-22,2772.8043593132156
2021-03-23,2756.40696628512
2021-03-24,2740.009573257024
2021-03-25,2723.612180228928
2021-03-26,2707.2147872008327
2021-03-27,2690.817394172737
2021-03-28,2674.420001144641
2021-03-29,2658.022608116545
2021-03-30,2641.6252150884497
2021-03-31,2625.227822060354
2021-04-01,2608.830429032258
2021-04-02,2607.6065826881722
2021-04-03,2606.382736344086
2021-04-04,2605.15889
2021-04-05,2603.935043655914
2021-04-06,2602.711197311828
2021-04-07,2601.487350967742
2021-04-08,2600.263504623656
2021-04-09,2599.0396582795697
2021-04-10,2597.815811935484
2021-04-11,2596.5919655913976
2021-04-12,2595.368119247312
2021-04-13,2594.1442729032256
2021-04-14,2592.9204265591397
2021-04-15,2591.6965802150535
2021-04-16,2590.4727338709677
2021-04-17,2589.248887526882
2021-04-18,2588.0250411827956
2021-04-19,2586.8011948387098
2021-04-20,2585.5773484946235
2021-04-21,2584.3535021505377
2021-04-22,2583.1296558064514
2021-04-23,2581.9058094623656
2021-04-24,2580.6819631182793
2021-04-25,2579.4581167741935
2021-04-26,2578.2342704301072
2021-04-27,2577.0104240860214
2021-04-28,2575.786577741935
2021-04-29,2574.5627313978493
2021-04-30,2573.338885053763
2021-05-01,2572.1150387096773
2021-05-02,2547.5489206035377
2021-05-03,2522.9828024973986
2021-05-04,2498.416684391259
2021-05-05,2473.8505662851194
2021-05-06,2449.2844481789803
2021-05-07,2424.7183300728407
2021-05-08,2400.152211966701
2021-05-09,2375.586093860562
2021-05-10,2351.0199757544224
2021-05-11,2326.453857648283
2021-05-12,2301.8877395421437
2021-05-13,2277.321621436004
2021-05-14,2252.7555033298645
2021-05-15,2228.1893852237254
2021-05-16,2203.623267117586
2021-05-17,2179.057149011446
2021-05-18,2154.491030905307
2021-05-19,2129.9249127991675
2021-05-20,2105.358794693028
2021-05-21,2080.792676586889
2021-05-22,2056.226558480749
2021-05-23,2031.6604403746098
2021-05-24,2007.0943222684705
2021-05-25,1982.528204162331
2021-05-26,1957.9620860561915
2021-05-27,1933.3959679500522
2021-05-28,1908.8298498439126
2021-05-29,1884.2637317377732
2021-05-30,1859.6976136316339
2021-05-31,1835.1314955254943
2021-06-01,1810.565377419355
2021-06-02,1812.352605698925
2021-06-03,1814.1398339784946
2021-06-04,1815.9270622580646
2021-06-05,1817.7142905376345
2021-06-06,1819.5015188172044
2021-06-07,1821.2887470967742
2021-06-08,1823.075975376344
2021-06-09,1824.863203655914
2021-06-10,1826.650431935484
2021-06-11,1828.4376602150537
2021-06-12,1830.2248884946237
2021-06-13,1832.0121167741936
2021-06-14,1833.7993450537635
2021-06-15,1835.5865733333333
2021-06-16,1837.3738016129032
2021-06-17,1839.1610298924732
2021-06-18,1840.9482581720429
2021-06-19,1842.7354864516128
2021-06-20,1844.5227147311828
2021-06-21,1846.3099430107527
2021-06-22,1848.0971712903224
2021-06-23,1849.8843995698924
2021-06-24,1851.6716278494623
2021-06-25,1853.4588561290323
2021-06-26,1855.246084408602
2021-06-27,1857.033312688172
2021-06-28,1858.8205409677419
2021-06-29,1860.6077692473118
2021-06-30,1862.3949975268815
2021-07-01,1864.1822258064515
2021-07-02,1873.30183371488
2021-07-03,1882.421441623309
2021-07-04,1891.5410495317376
2021-07-05,1900.6606574401665
2021-07-06,1909.780265348595
