Date,Interpolated Demand,Interpolated Total Value
2021-01-31,21312.657606659726,903664823.7312487
2021-02-01,21229.03838709677,900304080.9851613
2021-02-02,21755.68218894009,923111646.760265
2021-02-03,22282.325990783407,945919212.5353687
2021-02-04,22808.969792626725,968726778.3104724
2021-02-05,23335.613594470044,991534344.085576
2021-02-06,23862.257396313362,1014341909.8606797
2021-02-07,24388.90119815668,1037149475.6357834
2021-02-08,24915.545,1059957041.4108871
2021-02-09,25442.188801843316,1082764607.1859908
2021-02-10,25968.832603686635,1105572172.9610944
2021-02-11,26495.476405529953,1128379738.7361982
2021-02-12,27022.12020737327,1151187304.511302
2021-02-13,27548.76400921659,1173994870.2864056
2021-02-14,28075.407811059908,1196802436.0615091
2021-02-15,28602.051612903226,1219610001.836613
2021-02-16,29128.695414746544,1242417567.6117167
2021-02-17,29655.339216589862,1265225133.3868203
2021-02-18,30181.98301843318,1288032699.161924
2021-02-19,30708.6268202765,1310840264.9370277
2021-02-20,31235.270622119817,1333647830.7121315
2021-02-21,31761.914423963135,1356455396.487235
2021-02-22,32288.558225806453,1379262962.2623386
2021-02-23,32815.20202764977,1402070528.0374424
2021-02-24,33341.84582949309,1424878093.8125463
2021-02-25,33868.48963133641,1447685659.5876498
2021-02-26,34395.133433179726,1470493225.3627534
2021-02-27,34921.777235023044,1493300791.1378572
2021-02-28,35448.42103686636,1516108356.912961
2021-03-01,35975.06483870968,1538915922.6880646
2021-03-02,35747.888657648284,1529324313.1963892
2021-03-03,35520.712476586894,1519732703.7047138
2021-03-04,35293.5362955255,1510141094.2130384
2021-03-05,35066.3601144641,1500549484.7213633
2021-03-06,34839.18393340271,1490957875.229688
2021-03-07,34612.00775234131,1481366265.7380126
2021-03-08,34384.83157127992,1471774656.2463372
2021-03-09,34157.655390218526,1462183046.7546618
2021-03-10,33930.47920915713,1452591437.2629867
2021-03-11,33703.30302809574,1442999827.7713113
2021-03-12,33476.12684703434,1433408218.279636
2021-03-13,33248.950665972945,1423816608.7879605
2021-03-14,33021.774484911555,1414224999.2962852
2021-03-15,32794.59830385016,1404633389.8046098
2021-03-16,32567.422122788765,1395041780.3129344
2021-03-17,32340.245941727368,1385450170.8212593
2021-03-18,32113.069760665974,1375858561.329584
2021-03-19,31885.89357960458,1366266951.8379085
2021-03-20,31658.717398543187,1356675342.3462331
2021-03-21,31431.54121748179,1347083732.8545578
2021-03-22,31204.365036420397,1337492123.3628826
2021-03-23,30977.188855359003,1327900513.8712072
2021-03-24,30750.012674297606,1318308904.3795319
2021-03-25,30522.836493236213,1308717294.8878565
2021-03-26,30295.66031217482,1299125685.396181
2021-03-27,30068.484131113422,1289534075.9045057
2021-03-28,29841.30795005203,1279942466.4128304
2021-03-29,29614.131768990635,1270350856.921155
2021-03-30,29386.95558792924,1260759247.4294798
2021-03-31,29159.779406867845,1251167637.9378045
2021-04-01,28932.60322580645,1241576028.446129
2021-04-02,28981.240655913978,1243630534.403258
2021-04-03,29029.878086021505,1245685040.360387
2021-04-04,29078.51551612903,1247739546.317516
2021-04-05,29127.152946236558,1249794052.2746453
2021-04-06,29175.790376344085,1251848558.2317743
2021-04-07,29224.42780645161,1253903064.1889033
2021-04-08,29273.065236559138,1255957570.1460323
