Date,Interpolated Demand,Interpolated Total Value
2021-05-30,35272.98642656396,1512920687.3758352
2021-05-31,35314.699963229774,1514010948.8105454
2021-06-01,35342.17451612903,1514404154.7935483
2021-06-02,35355.03455778953,1514081800.017138
2021-06-03,35353.647069496874,1513062705.86081
2021-06-04,35338.564659726166,1511375025.375862
2021-06-05,35310.339936952485,1509046911.61359
2021-06-06,35269.52550965089,1506106517.6252913
2021-06-07,35216.6739862965,1502581996.4622626
2021-06-08,35152.33797536437,1498501501.1758006
2021-06-09,35077.070085329586,1493893184.8172023
2021-06-10,34991.42292466723,1488785200.4377642
2021-06-11,34895.94910185241,1483205701.0887835
2021-06-12,34791.20122536018,1477182839.8215566
2021-06-13,34677.731903665626,1470744769.6873808
2021-06-14,34556.093745243845,1463919643.7375524
2021-06-15,34426.8393585699,1456735615.0233684
2021-06-16,34290.5213521189,1449220836.5961256
2021-06-17,34147.69233436589,1441403461.5071208
2021-06-18,33998.904913785984,1433311642.807651
2021-06-19,33844.71169885426,1424973533.5490127
2021-06-20,33685.66529804579,1416417286.782503
2021-06-21,33522.31831983566,1407671055.5594182
2021-06-22,33355.22337269895,1398762992.9310558
2021-06-23,33184.93306511076,1389721251.9487119
2021-06-24,33012.00000554614,1380573985.663684
2021-06-25,32836.9768024802,1371349347.1272683
2021-06-26,32660.416064388024,1362075489.390762
2021-06-27,32482.870399744672,1352780565.5054617
2021-06-28,32304.892417025243,1343492728.5226645
2021-06-29,32127.034724704816,1334240131.493667
2021-06-30,31949.849931258464,1325050927.4697657
2021-07-01,31773.89064516129,1315953269.502258
2021-07-02,31599.711771929684,1306974875.1643317
2021-07-03,31427.877405245323,1298141720.116739
2021-07-04,31258.953935831225,1289479344.5421243
2021-07-05,31093.50775441038,1281013288.6231313
2021-07-06,30932.1052517058,1272769092.5424042
2021-07-07,30775.312818440492,1264772296.4825866
2021-07-08,30623.696845337454,1257048440.626322
2021-07-09,30477.82372311968,1249623065.1562552
2021-07-10,30338.259842510193,1242521710.2550297
2021-07-11,30205.571594231984,1235769916.1052892
2021-07-12,30080.32536900806,1229393222.8896778
2021-07-13,29963.087557561423,1223417170.790839
2021-07-14,29854.42455061508,1217867299.9914172
2021-07-15,29754.90273889203,1212769150.674056
2021-07-16,29665.08851311528,1208148263.0213995
2021-07-17,29585.548264007833,1204030177.2160914
2021-07-18,29516.848382292694,1200440433.4407752
2021-07-19,29459.555258692864,1197404571.8780956
2021-07-20,29414.23528393134,1194948132.7106962
2021-07-21,29381.45484873114,1193096656.1212208
2021-07-22,29361.78034381526,1191875682.2923133
2021-07-23,29355.778159906702,1191310751.4066176
2021-07-24,29364.014687728468,1191427403.6467776
2021-07-25,29387.05631800357,1192251179.1954372
2021-07-26,29425.469441455007,1193807618.23524
2021-07-27,29479.820448805778,1196122260.9488306
2021-07-28,29550.67573077889,1199220647.5188522
2021-07-29,29638.60167809735,1203128318.127949
2021-07-30,29744.164681484162,1207870812.9587648
2021-07-31,29867.93113166232,1213473672.1939435
2021-08-01,30010.467419354838,1219962436.016129
2021-08-02,30172.000287171224,1227346473.0467093
2021-08-03,30351.397885267026,1235570465.662046
2021-08-04,30547.188715684308,1244562924.6772468
2021-08-05,30757.901280465125,1254252360.9074168
2021-08-06,30982.064081651533,1264567285.1676638
2021-08-07,31218.20562128559,1275436208.273093
2021-08-08,31464.854401409364,1286787641.0388112
2021-08-09,31720.538924064906,1298550094.2799249
2021-08-10,31983.787691294274,1310652078.8115404
2021-08-11,32253.12920513953,1323022105.448764
2021-08-12,32527.091967642722,1335588685.006702
2021-08-13,32804.20448084593,1348280328.3004613
2021-08-14,33082.995246791186,1361025546.1451478
2021-08-15,33361.99276752057,1373752849.3558676
2021-08-16,33639.72554507614,1386390748.747728
2021-08-17,33914.72208149994,1398867755.1358347
2021-08-18,34185.51087883403,1411112379.3352945
